DraftYr,Round,Pk,Tm,Player,College,CollegeYrs,Salary,Championships,Career,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2006,1,4,POR,Tyrus Thomas,Louisiana State University,1,"$37,230,751.00 ",0,8,402,7932,3093,1938,347,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13,0.078,-1.1,1.7
2006,1,9,GSW,Patrick O'Bryant,Bradley University,2,"$5,930,890.00 ",0,4,90,524,186,127,25,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-3.1,-0.2
2006,1,15,NOK,Cedric Simmons,North Carolina State University,2,"$4,887,360.00 ",0,3,75,705,163,141,14,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5.7,-0.7
2006,2,49,DEN,Leon Powe,University of California,2,"$3,375,325.00 ",1,5,239,3320,1484,911,78,0.515,0,0.682,13.9,6.2,3.8,0.3,12,0.174,-2.3,-0.2
2006,1,26,LAL,Jordan Farmar,University of California Los Angeles,2,"$16,975,920.00 ",2,10,504,9840,3888,958,1453,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-1.4,1.6
2006,1,8,HOU,Rudy Gay,University of Connecticut,2,"$118,553,601.00 ",0,11,753,26815,13860,4452,1710,0.452,0.345,0.796,35.6,18.4,5.9,2.3,47.4,0.085,0.5,16.8
2006,1,21,PHO,Rajon Rondo,University of Kentucky,2,"$84,282,883.00 ",1,11,714,23045,7606,3483,6075,0.463,0.304,0.606,32.3,10.7,4.9,8.5,53.5,0.111,1.8,22
2006,2,33,ATL,Solomon Jones,University of South Florida,2,"$6,108,754.00 ",0,8,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,-2.9,-0.7
2006,1,2,CHI,LaMarcus Aldridge,University of Texas at Austin,2,"$128,724,912.00 ",0,11,794,27568,15136,6589,1510,0.486,0.287,0.802,34.7,19.1,8.3,1.9,86.7,0.151,1.2,22.4
2006,2,42,CLE,Daniel Gibson,University of Texas at Austin,2,"$21,000,000.00 ",0,7,397,9316,3115,792,775,0.402,0.407,0.78,23.5,7.8,2,2,16,0.082,-1,2.3
