,,,,,,,Year to Date,Totals,Total,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
DraftYr,Round,Pk,Tm,Player,College,CollegeYrs,Salary,Championships,Career,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2006,1,1,TOR,Andrea Bargnani,,0,"$74,269,408.00",0,10,550,15806,7873,2541,653,.439,.354,.824,28.7,14.3,4.6,1.2,18.9,.057,-2.2,-0.9
2006,1,2,CHI,LaMarcus Aldridge,University of Texas at Austin,2,"$128,724,912.00",0,11,794,27568,15136,6589,1510,.486,.287,.802,34.7,19.1,8.3,1.9,86.7,.151,1.2,22.4
2006,1,3,CHA,Adam Morrison,Gonzaga University,3,"$16,920,989.00",2,3,161,3278,1200,342,222,.373,.331,.710,20.4,7.5,2.1,1.4,-1.4,-.021,-5.5,-2.9
2006,1,4,POR,Tyrus Thomas,Louisiana State University,1,"$37,230,751.00",0,8,402,7932,3093,1938,347,.438,.235,.732,19.7,7.7,4.8,0.9,13.0,.078,-1.1,1.7
2006,1,5,ATL,Shelden Williams,Duke University,4,"$9,522,840.00",0,6,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-2.8,-1.2
2006,1,6,MIN,Brandon Roy,University of Washington,4,"$46,295,950.00",0,6,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155,3.2,15.2
2006,1,7,BOS,Randy Foye,Villanova University,4,"$31,106,401.00",0,11,752,19279,7729,1686,2112,.401,.366,.852,25.6,10.3,2.2,2.8,23.5,.058,-1.3,3.4
2006,1,8,HOU,Rudy Gay,University of Connecticut,2,"$118,553,601.00",0,11,753,26815,13860,4452,1710,.452,.345,.796,35.6,18.4,5.9,2.3,47.4,.085,0.5,16.8
2006,1,9,GSW,Patrick O'Bryant,Bradley University,2,"$5,930,890.00",0,4,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-3.1,-0.2
2006,1,10,SEA,Mouhamed Sene,,0,"$9,737,316.00",0,3,47,260,103,75,1,.427,,.589,5.5,2.2,1.6,0.0,0.3,.052,-9.3,-0.5
2006,1,11,ORL,JJ Redick,Duke University,4,"$57,345,008.00",0,11,690,17165,8214,1324,1276,.447,.415,.888,24.9,11.9,1.9,1.8,46.5,.130,0.1,9.2
2006,1,12,NOK,Hilton Armstrong,University of Connecticut,4,"$10,308,102.00",0,6,292,3378,880,766,102,.501,.286,.582,11.6,3.0,2.6,0.3,3.9,.055,-2.8,-0.7
2006,1,13,PHI,Thabo Sefolosha,,,"$30,525,228.00",0,11,740,17211,4400,2875,1111,.446,.345,.732,23.3,5.9,3.9,1.5,34.6,.096,1.1,13.3
2006,1,14,UTA,Ronnie Brewer,University of Arkansas,3,"$18,742,359.00",0,8,502,11539,3940,1427,828,.490,.254,.675,23.0,7.8,2.8,1.6,30.4,.127,1.7,10.7
2006,1,15,NOK,Cedric Simmons,North Carolina State University,2,"$4,887,360.00",0,3,75,705,163,141,14,.409,,.390,9.4,2.2,1.9,0.2,0.1,.005,-5.7,-0.7
2006,1,16,CHI,Rodney Carney,University of Memphis,4,"$4,643,280.00",0,5,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064,-2.7,-0.8
2006,1,17,IND,Shawne Williams,University of Memphis,4,"$14,325,132.00",0,7,314,5368,1769,945,220,.403,.339,.755,17.1,5.6,3.0,0.7,6.7,.060,-2.0,0.0
2006,1,18,WAS,Oleksiy Pecherov,,,"$4,340,160.00",0,3,111,1044,438,266,20,.386,.290,.793,9.4,3.9,2.4,0.2,0.5,.025,-7.0,-1.3
2006,1,19,SAC,Quincy Douby,Rutgers University,3,"$7,422,636.00",0,3,143,1535,588,152,93,.389,.312,.884,10.7,4.1,1.1,0.7,0.0,.000,-5.4,-1.3
2006,1,20,NYK,Renaldo Balkman,University of South Carolina,3,"$10,979,217.00",0,6,221,3064,894,769,132,.510,.172,.542,13.9,4.0,3.5,0.6,7.2,.113,0.9,2.2
2006,1,21,PHO,Rajon Rondo,University of Kentucky,2,"$84,282,883.00",1,11,714,23045,7606,3483,6075,.463,.304,.606,32.3,10.7,4.9,8.5,53.5,.111,1.8,22.0
2006,1,22,NJN,Marcus Williams,University of Connecticut,3,"$5,241,848.00",0,4,203,3095,1128,361,574,.386,.321,.767,15.2,5.6,1.8,2.8,0.0,-.001,-4.6,-2.0
2006,1,23,NJN,Josh Boone,University of Connecticut,3,"$5,456,088.00",0,4,256,4482,1340,1258,125,.544,,.445,17.5,5.2,4.9,0.5,9.1,.097,-1.9,0.1
2006,1,24,MEM,Kyle Lowry,Villanova University,2,"$40,757,916.00",0,11,713,22058,10162,2908,4123,.424,.364,.799,30.9,14.3,4.1,5.8,69.9,.152,3.7,31.5
2006,1,25,CLE,Shannon Brown,Michigan State University,3,"$7,853,038.00",3,9,408,7329,3118,760,458,.420,.332,.807,18.0,7.6,1.9,1.1,9.2,.060,-2.3,-0.6
2006,1,26,LAL,Jordan Farmar,University of California Los Angeles,2,"$16,975,920.00",2,10,504,9840,3888,958,1453,.423,.374,.739,19.5,7.7,1.9,2.9,13.9,.068,-1.4,1.6
2006,1,27,PHO,Sergio Rodriguez,,,"$4,027,696.00",0,5,353,5281,1747,525,1183,.409,.337,.739,15.0,4.9,1.5,3.4,4.3,.039,-3.2,-1.6
2006,1,28,DAL,Maurice Ager,Michigan State University,4,"$2,923,320.00",0,4,82,505,169,46,19,.339,.250,.566,6.2,2.1,0.6,0.2,-0.9,-.089,-10.4,-1.1
2006,1,29,NYK,Mardy Collins,Temple University,4,"$4,769,702.00",0,4,189,2771,742,336,327,.380,.299,.599,14.7,3.9,1.8,1.7,-1.6,-.027,-4.9,-2.0
2006,2,30,POR,Joel Freeland,,,"$8,925,000.00",0,3,151,1821,477,518,65,.459,.000,.728,12.1,3.2,3.4,0.4,3.2,.084,-2.5,-0.2
2006,2,31,POR,James White,University of Cincinnati,4,"$2,240,586.00",1,3,67,583,182,68,35,.438,.340,.676,8.7,2.7,1.0,0.5,0.8,.062,-3.4,-0.2
2006,2,32,HOU,Steve Novak,Marquette University,4,"$13,482,904.00",1,11,467,5657,2177,591,132,.437,.430,.877,12.1,4.7,1.3,0.3,14.5,.123,-0.9,1.6
2006,2,33,ATL,Solomon Jones,University of South Florida,2,"$6,108,754.00",0,8,281,3092,839,654,99,.467,.111,.717,11.0,3.0,2.3,0.4,5.0,.078,-2.9,-0.7
2006,2,34,LAC,Paul Davis,Michigan State University,4,"$4,787,025.00",0,4,82,702,217,158,32,.402,.000,.732,8.6,2.6,1.9,0.4,0.5,.035,-4.7,-0.5
2006,2,35,TOR,PJ Tucker,University of Texas at Austin,3,"$16,500,000.00",0,6,418,11642,3201,2387,651,.432,.351,.751,27.9,7.7,5.7,1.6,21.1,.087,1.0,8.7
2006,2,36,MIN,Craig Smith,Boston College,4,"$7,100,000.00",0,6,403,6826,3080,1567,322,.553,.037,.661,16.9,7.6,3.9,0.8,16.0,.113,-1.5,0.9
2006,2,37,MIN,Bobby Jones,University of Washington,4,"$436,981.00",0,2,91,867,288,149,44,.442,.306,.685,9.5,3.2,1.6,0.5,1.1,.060,-3.5,-0.3
2006,2,38,GSW,Kosta Perovic,,,"$3,434,000.00",0,1,7,38,10,13,1,.300,,.667,5.4,1.4,1.9,0.1,0.0,.060,-6.7,0.0
2006,2,39,MIL,David Noel,University of North Carolina,4,"$412,718.00",0,1,68,792,184,123,65,.367,.321,.860,11.6,2.7,1.8,1.0,0.4,.024,-3.4,-0.3
2006,2,40,SEA,Denham Brown,University of Connecticut,4,$0.00,0,,,,,,,,,,,,,,,,,
2006,2,41,ORL,James Augustine,University of Illinois at Urbana-Champaign,4,"$412,718.00",0,2,27,156,42,33,4,.514,,.500,5.8,1.6,1.2,0.1,0.3,.101,-2.2,0.0
2006,2,42,CLE,Daniel Gibson,University of Texas at Austin,2,"$21,000,000.00",0,7,397,9316,3115,792,775,.402,.407,.780,23.5,7.8,2.0,2.0,16.0,.082,-1.0,2.3
2006,2,43,NOK,Marcus Vinicius,,,$0.00,0,2,26,172,50,19,7,.457,.421,.556,6.6,1.9,0.7,0.3,0.2,.056,-3.6,-0.1
2006,2,44,ORL,Lior Eliyahu,,,$0.00,0,,,,,,,,,,,,,,,,,
2006,2,45,IND,Alexander Johnson,Florida State University,3,"$2,684,495.00",0,2,102,1302,439,275,30,.517,,.672,12.8,4.3,2.7,0.3,1.5,.056,-4.3,-0.7
2006,2,46,UTA,Dee Brown,University of Illinois at Urbana-Champaign,4,$0.00,0,2,68,711,140,69,119,.340,.250,.643,10.5,2.1,1.0,1.8,0.1,.008,-4.1,-0.4
2006,2,47,UTA,Paul Millsap,Louisiana Tech University,3,"$90,868,890.00",0,11,837,24683,11890,6254,1922,.493,.328,.736,29.5,14.2,7.5,2.3,79.6,.155,3.4,33.5
2006,2,48,WAS,Vladimir Veremeenko,,,$0.00,0,,,,,,,,,,,,,,,,,
2006,2,49,DEN,Leon Powe,University of California,2,"$3,375,325.00",1,5,239,3320,1484,911,78,.515,.000,.682,13.9,6.2,3.8,0.3,12.0,.174,-2.3,-0.2
2006,2,50,CHA,Ryan Hollins,University of California Los Angeles,4,"$8,876,610.00",0,10,518,6134,1913,1140,151,.584,.000,.649,11.8,3.7,2.2,0.3,10.4,.081,-2.6,-1.0
